idx,Base salt,Initial loading,Final loading,Fitness,Origin
5121,SnHPO4,0.0,7.0,2.12,s
3888,NiI2,6.0,12.0,1.281,s
1712,GeF4,2.0,3.0,0.822,s
986,ZnSeO4,1.0,6.0,1.97,e
2764,PbCl4,2.0,4.0,0.93,s
3478,BeCl2,4.0,12.0,1.753,s
3626,PbCl4,0.0,4.0,1.8,s
3398,YF3,1.0,7.0,2.173,s
3829,ScI3,4.0,9.0,1.4,s
5499,VPO4,7.0,9.0,0.82,s
4064,TiCl4,5.0,8.0,1.036,s
4226,SrCl2,2.0,4.0,0.881,s
1043,GaCl3,0.0,9.0,2.911,s
1344,ZrBr4,0.0,8.0,2.531,s
5310,Mn2As2O7,1.0,6.0,1.52,s
5390,MnCO3,3.0,5.0,1.17,s
90,Ca(NO3)2,0.0,4.0,1.91,e
1564,YCl3,3.0,6.0,1.433,s
1340,LaBr3,0.0,10.0,2.521,s
763,PrCl3,0.0,7.0,2.32,e
5402,KBrO3,3.0,6.0,1.11,s
69,BeSO4,0.0,2.0,1.96,e
5206,CaHAsO4,2.0,7.0,1.76,s
5436,PbHPO4,4.0,7.0,1.08,s
2625,PbI2,6.0,12.0,1.132,s
4562,SnI4,3.0,5.0,0.546,s
298,FeCl2,0.0,2.0,1.8,e
2837,PbI2,2.0,4.0,0.81,s
4711,CaI2,6.0,7.0,0.321,s
473,Mg(ClO4)2,0.0,2.0,1.31,e
5623,KH2PO4,1.0,2.0,0.51,s
5248,Ca(ClO4)2,1.0,6.0,1.63,s
4412,VI3,4.0,6.0,0.739,s
250,Cu(NO3)2,0.0,3.0,1.96,e
1874,BeF2,0.0,7.0,2.994,s
372,K2Mg(SO4)2,0.0,2.0,0.87,e
1653,MgI2,8.0,12.0,0.997,s
1305,MgI2,1.0,8.0,2.611,s
5375,K2HPO4,0.0,2.0,1.24,s
1517,ScBr3,0.0,3.0,1.72,s
4760,TiI3,7.0,8.0,0.243,s
4567,WBr4,2.0,3.0,0.532,s
3207,CrCl4,0.0,8.0,2.653,s
2467,ScCl3,0.0,2.0,1.417,s
3635,MoBr4,0.0,5.0,1.802,s
561,MnC2O4,0.0,3.0,1.62,e
1536,SnBr2,4.0,12.0,1.482,s
4386,PbI4,4.0,8.0,0.777,s
4922,NiCO3,3.0,5.0,1.09,s
802,Sm(NO3)3,4.0,6.0,0.59,e
1012,CoF3,0.0,9.0,4.397,s
1590,NaCl,2.0,4.0,1.22,s
1333,HfF4,0.0,5.0,2.604,s
4011,YF3,2.0,4.0,1.186,s
4007,WBr4,2.0,5.0,1.237,s
152,CdCl2,2.5,4.0,1.17,e
4480,HfF4,4.0,5.0,0.641,s
1704,RbCl,0.0,1.0,0.837,s
4444,AlCl3,3.0,4.0,0.648,s
2788,MgI2,4.0,6.0,0.862,s
2430,YI3,0.0,4.0,1.57,s
4240,CrBr3,6.0,9.0,0.875,s
1154,CaI2,0.0,2.0,1.231,s
4101,GaCl3,7.0,9.0,0.978,s
1084,RbF,0.0,2.0,2.485,s
3805,GeCl4,4.0,8.0,1.385,s
2613,LiBr,2.0,4.0,1.115,s
1487,MnCl4,0.0,3.0,1.809,s
4793,Li2S,0.0,5.0,3.293,s
2584,YF3,0.0,2.0,1.223,s
5160,NaClO4,3.0,11.0,1.82,s
3049,YBr3,7.0,8.0,0.307,s
2073,CuF2,4.0,12.0,2.209,s
496,MgCl2,0.0,6.0,2.97,e
5294,La(IO3)3,0.0,9.0,1.58,s
476,Mg(NO3)2,0.0,2.0,1.5,e
2690,HfF4,5.0,8.0,1.031,s
